heaviest queen weight,row location of heaviest queen,col location of heaviest queen,lightest queen weight,row location of lightest queen,col location of lightest queen,initial conflicts,n,average value including 0,lightest in conflict,heaviest in conflict,average in conflict,smallest d in conflict,smallest row d in conflict,smallest d in conflict,largest d in conflict,largest row d in conflict,largest d in conflict,average d in conflict
5,3,1,1,0,2,0,4,0.6875,0,0,0,0,0,0,0,0,0,0
6,3,0,2,0,3,3,4,1,2,6,3.666666667,1.414213562,-1,-1,4.242640687,-3,3,3.299831646
6,1,0,2,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0
6,0,0,2,2,3,3,4,1,2,5,3.333333333,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
6,2,0,2,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0
8,2,1,6,0,0,1,4,1.6875,7,7,7,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,0,1,6,1,3,0,4,1.6875,0,0,0,0,0,0,0,0,0,0
8,3,1,1,0,2,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
8,3,1,1,0,2,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
6,3,0,1,0,2,2,4,0.75,1,2,1.5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
6,1,0,1,0,2,0,4,0.75,0,0,0,0,0,0,0,0,0,0
8,0,3,5,2,0,3,4,1.75,7,8,7.666666667,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,2,3,5,1,0,0,4,1.75,0,0,0,0,0,0,0,0,0,0
8,0,1,2,2,0,0,4,1.5625,0,0,0,0,0,0,0,0,0,0
8,0,1,2,2,0,0,4,1.5625,0,0,0,0,0,0,0,0,0,0
8,2,3,2,1,1,3,4,1.3125,2,8,5.333333333,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,2,3,2,3,1,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
7,2,1,3,0,0,3,4,1.3125,5,7,6,1.414213562,-1,1,4.242640687,-3,-3,2.357022604
7,3,1,3,1,0,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
7,2,0,3,1,1,7,4,1.3125,3,7,5.285714286,1.414213562,-1,1,2.828427125,-2,2,2.020305089
7,1,0,3,3,1,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
5,0,3,4,3,2,2,4,1.1875,5,5,5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
5,0,1,4,3,2,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
8,2,3,2,3,2,3,4,1.25,2,8,5.333333333,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,2,3,2,0,2,0,4,1.25,0,0,0,0,0,0,0,0,0,0
8,0,1,3,2,2,3,4,1.4375,5,8,6.666666667,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,0,1,3,3,2,0,4,1.4375,0,0,0,0,0,0,0,0,0,0
8,1,0,1,3,3,1,4,1.3125,6,6,6,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,1,0,1,2,3,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
5,1,1,1,0,0,6,4,0.8125,2,5,3.5,1.414213562,-1,-1,4.242640687,-3,-3,2.357022604
5,0,2,1,1,0,0,4,0.8125,0,0,0,0,0,0,0,0,0,0
7,2,0,1,3,2,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
7,2,0,1,3,2,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
8,3,0,1,0,1,2,4,1.0625,4,4,4,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,2,0,1,0,1,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
8,0,1,5,3,3,3,4,1.6875,5,8,6.333333333,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,0,1,5,1,3,0,4,1.6875,0,0,0,0,0,0,0,0,0,0
7,1,2,2,2,0,1,4,1.3125,7,7,7,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
7,3,2,2,2,0,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
8,0,0,5,2,3,1,4,1.75,5,5,5,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,1,0,5,2,3,0,4,1.75,0,0,0,0,0,0,0,0,0,0
8,1,0,6,3,2,5,4,1.8125,6,8,7,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
8,0,1,6,3,2,0,4,1.8125,0,0,0,0,0,0,0,0,0,0
5,1,0,1,0,2,1,4,0.6875,2,2,2,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
5,1,0,1,0,2,0,4,0.6875,0,0,0,0,0,0,0,0,0,0
6,1,1,2,3,2,2,4,1,4,6,5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
6,0,1,2,3,2,0,4,1,0,0,0,0,0,0,0,0,0,0
6,1,2,3,0,0,1,4,1.125,4,4,4,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
6,0,2,3,1,0,0,4,1.125,0,0,0,0,0,0,0,0,0,0
6,1,3,1,0,1,2,4,0.875,6,6,6,1.414213562,-1,1,1.414213562,-1,1,1.414213562
6,1,3,1,0,1,0,4,0.875,0,0,0,0,0,0,0,0,0,0
8,1,3,1,3,1,7,4,1.25,1,8,5.142857143,1.414213562,-1,1,2.828427125,-2,-2,2.020305089
8,2,3,1,3,1,0,4,1.25,0,0,0,0,0,0,0,0,0,0
8,3,1,1,1,2,3,4,1.125,1,8,5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,0,1,1,3,2,0,4,1.125,0,0,0,0,0,0,0,0,0,0
6,0,2,1,2,1,1,4,1,1,1,1,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
6,0,2,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0
7,0,0,2,2,3,3,4,1.125,2,6,3.666666667,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
7,2,0,2,1,3,0,4,1.125,0,0,0,0,0,0,0,0,0,0
8,2,0,1,1,3,6,4,0.8125,1,8,2.666666667,1.414213562,-1,-1,2.828427125,-2,2,2.357022604
8,1,0,1,2,3,0,4,0.8125,0,0,0,0,0,0,0,0,0,0
7,0,2,1,1,0,1,4,0.625,1,1,1,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
7,0,2,1,1,0,0,4,0.625,0,0,0,0,0,0,0,0,0,0
8,3,1,1,1,0,0,4,1.125,0,0,0,0,0,0,0,0,0,0
8,3,1,1,1,0,0,4,1.125,0,0,0,0,0,0,0,0,0,0
7,2,3,1,3,0,2,4,1.125,5,5,5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
7,2,3,1,1,0,0,4,1.125,0,0,0,0,0,0,0,0,0,0
5,0,3,1,3,2,2,4,1,5,5,5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
5,0,1,1,3,2,0,4,1,0,0,0,0,0,0,0,0,0,0
8,1,3,4,3,2,0,4,1.5,0,0,0,0,0,0,0,0,0,0
8,1,3,4,3,2,0,4,1.5,0,0,0,0,0,0,0,0,0,0
6,0,0,4,1,1,3,4,1.375,4,6,5.333333333,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
6,1,3,4,0,1,0,4,1.375,0,0,0,0,0,0,0,0,0,0
7,3,2,1,0,3,2,4,1.1875,5,6,5.5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
7,3,2,1,1,3,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
4,2,3,1,1,2,5,4,0.625,1,4,2.4,1.414213562,-1,-1,2.828427125,-2,-2,2.2627417
4,1,3,1,3,2,0,4,0.625,0,0,0,0,0,0,0,0,0,0
7,2,2,1,0,3,3,4,1.0625,1,7,5,1.414213562,-1,-1,4.242640687,-3,3,3.299831646
7,0,2,1,2,3,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
4,2,1,1,0,3,5,4,0.625,1,4,2.6,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
4,0,1,1,1,3,0,4,0.625,0,0,0,0,0,0,0,0,0,0
8,0,1,4,3,2,6,4,1.5625,4,8,6,1.414213562,-1,1,2.828427125,-2,-2,1.885618083
8,0,1,4,3,2,0,4,1.5625,0,0,0,0,0,0,0,0,0,0
6,2,3,1,0,0,3,4,0.6875,1,6,3.333333333,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
6,1,3,1,0,1,0,4,0.6875,0,0,0,0,0,0,0,0,0,0
8,1,0,1,0,3,2,4,0.9375,1,5,3,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,1,0,1,0,2,0,4,0.9375,0,0,0,0,0,0,0,0,0,0
8,3,2,1,1,1,2,4,1.25,1,7,4,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,3,2,1,0,1,0,4,1.25,0,0,0,0,0,0,0,0,0,0
8,2,0,5,1,2,3,4,1.5625,5,6,5.666666667,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,2,0,5,3,2,0,4,1.5625,0,0,0,0,0,0,0,0,0,0
8,0,2,1,1,3,3,4,1.3125,1,8,4.333333333,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,0,2,1,2,3,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
8,1,0,2,3,2,6,4,1.375,2,8,4.833333333,1.414213562,-1,1,2.828427125,-2,-2,1.885618083
8,1,0,2,0,2,0,4,1.375,0,0,0,0,0,0,0,0,0,0
7,2,1,1,0,3,5,4,1.1875,1,7,5,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
7,0,1,1,1,3,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
8,1,3,1,2,0,6,4,1.1875,1,8,5,1.414213562,-1,-1,2.828427125,-2,2,2.357022604
8,2,3,1,1,0,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
8,0,3,2,2,1,5,4,1.375,2,8,4,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
8,1,0,2,3,1,0,4,1.375,0,0,0,0,0,0,0,0,0,0
7,2,1,2,0,3,5,4,1,2,7,4.8,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
7,0,1,2,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0
5,0,1,2,2,2,3,4,0.875,3,5,4,1.414213562,-1,1,1.414213562,-1,1,1.414213562
5,0,1,2,3,2,0,4,0.875,0,0,0,0,0,0,0,0,0,0
7,0,1,1,3,0,2,4,0.9375,3,4,3.5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
7,0,1,1,2,0,0,4,0.9375,0,0,0,0,0,0,0,0,0,0
6,1,1,3,2,2,3,4,1.1875,3,5,4.333333333,1.414213562,-1,-1,4.242640687,-3,3,3.299831646
6,0,1,3,3,2,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
6,1,3,1,3,1,7,4,0.9375,1,6,4.571428571,1.414213562,-1,1,2.828427125,-2,-2,2.020305089
6,0,2,1,3,1,0,4,0.9375,0,0,0,0,0,0,0,0,0,0
8,0,2,1,2,1,3,4,1.1875,1,8,3.666666667,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,1,3,1,0,1,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
7,0,0,2,2,2,7,4,0.875,2,3,2.285714286,1.414213562,-1,1,2.828427125,-2,-2,2.020305089
7,2,0,2,0,1,0,4,0.875,0,0,0,0,0,0,0,0,0,0
3,1,1,1,0,3,2,4,0.4375,1,3,2,1.414213562,-1,1,1.414213562,-1,1,1.414213562
3,0,1,1,1,3,0,4,0.4375,0,0,0,0,0,0,0,0,0,0
8,0,2,2,1,0,0,4,0.875,0,0,0,0,0,0,0,0,0,0
8,0,2,2,1,0,0,4,0.875,0,0,0,0,0,0,0,0,0,0
8,2,3,1,1,2,5,4,1,1,8,4,1.414213562,-1,-1,2.828427125,-2,-2,2.2627417
8,1,3,1,3,2,0,4,1,0,0,0,0,0,0,0,0,0,0
8,1,2,4,2,0,3,4,1.375,5,8,6,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,3,2,4,2,0,0,4,1.375,0,0,0,0,0,0,0,0,0,0
7,2,0,2,0,2,7,4,0.875,2,7,3.571428571,1.414213562,-1,1,2.828427125,-2,2,2.020305089
7,2,0,2,0,1,0,4,0.875,0,0,0,0,0,0,0,0,0,0
8,0,3,1,2,2,3,4,1.375,1,8,5.666666667,1.414213562,-1,-1,4.242640687,-3,3,3.299831646
8,1,3,1,3,2,0,4,1.375,0,0,0,0,0,0,0,0,0,0
7,2,0,1,1,1,7,4,0.9375,1,7,3.857142857,1.414213562,-1,1,2.828427125,-2,2,2.020305089
7,1,0,1,3,1,0,4,0.9375,0,0,0,0,0,0,0,0,0,0
8,2,0,2,0,3,2,4,1.25,4,8,6,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,2,0,2,1,3,0,4,1.25,0,0,0,0,0,0,0,0,0,0
6,1,0,3,3,1,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
6,1,0,3,3,1,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
5,1,2,2,2,1,12,4,0.875,2,5,3.5,1.414213562,-1,1,4.242640687,-3,3,2.357022604
5,0,2,2,3,1,0,4,0.875,0,0,0,0,0,0,0,0,0,0
8,1,0,3,3,3,3,4,1.375,3,8,6,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,2,0,3,1,3,0,4,1.375,0,0,0,0,0,0,0,0,0,0
6,0,2,2,3,3,1,4,1.0625,6,6,6,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
6,0,2,2,2,3,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
7,3,1,1,2,0,6,4,1.125,1,7,5,1.414213562,-1,-1,2.828427125,-2,2,2.357022604
7,3,1,1,1,0,0,4,1.125,0,0,0,0,0,0,0,0,0,0
7,2,2,1,0,1,3,4,1.0625,1,7,3.333333333,1.414213562,-1,1,1.414213562,-1,1,1.414213562
7,0,2,1,3,1,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
8,1,3,3,3,0,3,4,1.625,3,8,6.333333333,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,0,1,3,2,0,0,4,1.625,0,0,0,0,0,0,0,0,0,0
8,2,1,1,0,0,1,4,1.125,5,5,5,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,0,1,1,2,0,0,4,1.125,0,0,0,0,0,0,0,0,0,0
6,1,1,5,0,3,2,4,1.375,6,6,6,1.414213562,-1,1,1.414213562,-1,1,1.414213562
6,0,1,5,1,3,0,4,1.375,0,0,0,0,0,0,0,0,0,0
5,1,3,4,0,1,0,4,1.125,0,0,0,0,0,0,0,0,0,0
5,1,3,4,0,1,0,4,1.125,0,0,0,0,0,0,0,0,0,0
8,3,3,1,2,0,1,4,1.0625,4,4,4,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,1,3,1,2,0,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
8,1,0,1,3,3,1,4,1.125,2,2,2,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,1,0,1,2,3,0,4,1.125,0,0,0,0,0,0,0,0,0,0
7,0,0,1,2,1,1,4,0.9375,5,5,5,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
7,2,0,1,0,1,0,4,0.9375,0,0,0,0,0,0,0,0,0,0
7,1,0,1,2,1,1,4,0.6875,1,1,1,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
7,1,0,1,2,3,0,4,0.6875,0,0,0,0,0,0,0,0,0,0
8,3,2,1,0,1,0,4,0.6875,0,0,0,0,0,0,0,0,0,0
8,3,2,1,0,1,0,4,0.6875,0,0,0,0,0,0,0,0,0,0
4,1,3,1,0,0,7,4,0.625,2,4,2.857142857,1.414213562,-1,1,2.828427125,-2,-2,2.020305089
4,1,3,1,2,0,0,4,0.625,0,0,0,0,0,0,0,0,0,0
8,3,1,4,0,2,6,4,1.5625,4,8,6.666666667,1.414213562,-1,-1,2.828427125,-2,2,2.357022604
8,3,1,4,0,2,0,4,1.5625,0,0,0,0,0,0,0,0,0,0
7,3,0,1,0,1,2,4,0.9375,2,5,3.5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
7,2,0,1,0,1,0,4,0.9375,0,0,0,0,0,0,0,0,0,0
8,2,1,1,3,0,3,4,1.1875,1,8,4.333333333,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,0,1,1,2,0,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
6,0,0,3,2,2,7,4,1.25,3,6,4.428571429,1.414213562,-1,1,2.828427125,-2,-2,2.020305089
6,1,0,3,0,2,0,4,1.25,0,0,0,0,0,0,0,0,0,0
7,1,3,2,2,0,6,4,1.375,2,7,6,1.414213562,-1,-1,2.828427125,-2,2,2.357022604
7,2,3,2,1,0,0,4,1.375,0,0,0,0,0,0,0,0,0,0
8,1,0,6,0,2,1,4,1.875,8,8,8,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,1,0,6,0,2,0,4,1.875,0,0,0,0,0,0,0,0,0,0
6,3,3,2,0,1,3,4,0.9375,2,6,3.666666667,1.414213562,-1,1,1.414213562,-1,1,1.414213562
6,2,3,2,3,1,0,4,0.9375,0,0,0,0,0,0,0,0,0,0
8,1,2,1,2,0,1,4,1.1875,8,8,8,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,3,2,1,2,0,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
8,0,1,1,2,3,6,4,1.25,1,8,4.333333333,1.414213562,-1,1,2.828427125,-2,-2,1.885618083
8,0,1,1,1,3,0,4,1.25,0,0,0,0,0,0,0,0,0,0
5,2,3,2,0,1,5,4,0.8125,3,5,3.8,1.414213562,-1,-1,2.828427125,-2,-2,2.2627417
5,2,3,2,3,1,0,4,0.8125,0,0,0,0,0,0,0,0,0,0
7,1,3,2,3,0,2,4,1.125,5,7,6,1.414213562,-1,1,1.414213562,-1,1,1.414213562
7,1,3,2,2,0,0,4,1.125,0,0,0,0,0,0,0,0,0,0
7,1,0,1,2,1,5,4,1.1875,1,6,3.6,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
7,1,0,1,3,1,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
8,0,2,2,3,1,0,4,1.25,0,0,0,0,0,0,0,0,0,0
8,0,2,2,3,1,0,4,1.25,0,0,0,0,0,0,0,0,0,0
8,3,3,1,2,1,1,4,1,1,1,1,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,2,3,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0
8,1,0,1,2,2,3,4,1.25,5,8,6.333333333,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,2,0,1,3,2,0,4,1.25,0,0,0,0,0,0,0,0,0,0
7,0,1,2,1,2,1,4,1.125,2,2,2,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
7,0,1,2,3,2,0,4,1.125,0,0,0,0,0,0,0,0,0,0
5,1,2,1,0,1,5,4,0.75,3,5,3.8,1.414213562,-1,-1,2.828427125,-2,-2,2.2627417
5,0,2,1,3,1,0,4,0.75,0,0,0,0,0,0,0,0,0,0
8,2,1,4,1,3,3,4,1.4375,4,8,5.666666667,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,0,1,4,1,3,0,4,1.4375,0,0,0,0,0,0,0,0,0,0
6,1,0,2,0,3,5,4,1.1875,2,6,4.8,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
6,0,1,2,1,3,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
8,2,3,1,1,1,2,4,0.9375,1,2,1.5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,2,3,1,3,1,0,4,0.9375,0,0,0,0,0,0,0,0,0,0
5,0,2,1,1,1,2,4,1,1,5,3,1.414213562,-1,1,1.414213562,-1,1,1.414213562
5,0,2,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0
8,3,3,1,1,0,3,4,0.875,1,8,4,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,1,3,1,2,0,0,4,0.875,0,0,0,0,0,0,0,0,0,0
7,1,1,3,0,0,6,4,1.25,4,7,5.166666667,1.414213562,-1,-1,4.242640687,-3,-3,2.357022604
7,0,1,3,2,0,0,4,1.25,0,0,0,0,0,0,0,0,0,0
6,2,3,2,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0
6,2,3,2,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0
8,0,3,2,2,1,5,4,1.4375,2,8,5.2,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
8,2,3,2,3,1,0,4,1.4375,0,0,0,0,0,0,0,0,0,0
4,0,2,1,1,1,2,4,0.6875,1,4,2.5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
4,0,2,1,3,1,0,4,0.6875,0,0,0,0,0,0,0,0,0,0
7,1,2,4,3,1,1,4,1.4375,7,7,7,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
7,0,2,4,3,1,0,4,1.4375,0,0,0,0,0,0,0,0,0,0
5,0,2,3,2,3,2,4,1.0625,4,5,4.5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
5,0,2,3,2,3,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
8,3,3,1,2,1,1,4,1.0625,1,1,1,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,2,3,1,3,1,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
8,1,3,1,3,2,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
8,1,3,1,3,2,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
8,1,2,1,0,1,1,4,1.4375,8,8,8,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,0,2,1,3,1,0,4,1.4375,0,0,0,0,0,0,0,0,0,0
8,2,1,1,3,0,12,4,0.875,1,8,3.5,1.414213562,-1,1,4.242640687,-3,3,2.357022604
8,0,1,1,2,0,0,4,0.875,0,0,0,0,0,0,0,0,0,0
8,1,1,1,0,0,6,4,1.125,4,8,5.166666667,1.414213562,-1,-1,4.242640687,-3,-3,2.357022604
8,0,1,1,2,0,0,4,1.125,0,0,0,0,0,0,0,0,0,0
7,2,1,1,0,2,3,4,1.125,5,7,5.666666667,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
7,0,1,1,3,2,0,4,1.125,0,0,0,0,0,0,0,0,0,0
8,3,0,2,2,3,2,4,1.1875,4,5,4.5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,1,0,2,2,3,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
7,2,2,1,0,0,7,4,1.3125,6,7,6.714285714,1.414213562,-1,1,2.828427125,-2,-2,2.020305089
7,0,1,1,2,0,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
8,2,1,1,3,2,1,4,1.25,1,1,1,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,0,1,1,3,2,0,4,1.25,0,0,0,0,0,0,0,0,0,0
8,2,1,1,1,0,1,4,1.1875,8,8,8,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,0,1,1,2,0,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
7,0,3,3,1,0,5,4,1.25,4,7,5.4,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
7,1,3,3,2,0,0,4,1.25,0,0,0,0,0,0,0,0,0,0
8,0,2,1,2,0,6,4,1.125,1,8,4.5,1.414213562,-1,-1,2.828427125,-2,2,2.357022604
8,0,2,1,1,0,0,4,1.125,0,0,0,0,0,0,0,0,0,0
6,1,0,2,0,1,3,4,0.75,2,6,3.333333333,1.414213562,-1,1,1.414213562,-1,1,1.414213562
6,2,0,2,0,1,0,4,0.75,0,0,0,0,0,0,0,0,0,0
8,1,2,6,0,0,1,4,1.6875,6,6,6,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,0,2,6,1,0,0,4,1.6875,0,0,0,0,0,0,0,0,0,0
6,3,2,2,0,1,6,4,0.875,2,6,3.666666667,1.414213562,-1,1,2.828427125,-2,-2,1.885618083
6,3,2,2,0,1,0,4,0.875,0,0,0,0,0,0,0,0,0,0
6,1,2,2,3,0,5,4,1.125,2,6,5.2,1.414213562,-1,-1,2.828427125,-2,-2,2.2627417
6,1,3,2,2,0,0,4,1.125,0,0,0,0,0,0,0,0,0,0
8,1,3,1,0,2,6,4,1.0625,1,8,5.166666667,1.414213562,-1,-1,2.828427125,-2,2,2.357022604
8,1,3,1,3,2,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
8,0,1,2,1,3,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
8,0,1,2,1,3,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
7,0,1,2,1,2,5,4,0.9375,2,4,2.4,1.414213562,-1,-1,2.828427125,-2,-2,2.2627417
7,0,1,2,1,3,0,4,0.9375,0,0,0,0,0,0,0,0,0,0
8,1,0,3,3,3,1,4,1.3125,6,6,6,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,1,0,3,2,3,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
8,3,2,3,1,0,5,4,1.5,6,8,7,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
8,3,2,3,2,0,0,4,1.5,0,0,0,0,0,0,0,0,0,0
5,1,0,3,0,1,6,4,1.0625,3,5,4.333333333,1.414213562,-1,1,2.828427125,-2,-2,1.885618083
5,1,0,3,3,1,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
6,0,0,1,1,2,1,4,0.875,2,2,2,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
6,1,0,1,0,2,0,4,0.875,0,0,0,0,0,0,0,0,0,0
3,1,3,2,0,1,0,4,0.625,0,0,0,0,0,0,0,0,0,0
3,1,3,2,0,1,0,4,0.625,0,0,0,0,0,0,0,0,0,0
6,2,2,1,1,1,6,4,0.8125,1,6,3.666666667,1.414213562,-1,-1,4.242640687,-3,-3,2.357022604
6,0,2,1,3,1,0,4,0.8125,0,0,0,0,0,0,0,0,0,0
8,2,1,1,0,2,1,4,0.875,8,8,8,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,0,1,1,2,0,0,4,0.875,0,0,0,0,0,0,0,0,0,0
5,1,2,2,0,0,3,4,0.8125,2,5,3.666666667,1.414213562,-1,1,4.242640687,-3,-3,2.357022604
5,0,2,2,1,0,0,4,0.8125,0,0,0,0,0,0,0,0,0,0
8,0,2,4,1,3,6,4,1.625,4,8,6.166666667,1.414213562,-1,-1,2.828427125,-2,2,2.357022604
8,0,2,4,2,3,0,4,1.625,0,0,0,0,0,0,0,0,0,0
8,2,0,1,3,2,0,4,1.375,0,0,0,0,0,0,0,0,0,0
8,2,0,1,3,2,0,4,1.375,0,0,0,0,0,0,0,0,0,0
8,1,3,1,3,0,3,4,1.25,1,8,5,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,1,3,1,2,0,0,4,1.25,0,0,0,0,0,0,0,0,0,0
6,1,3,1,0,2,6,4,1.0625,1,6,4.666666667,1.414213562,-1,-1,2.828427125,-2,2,2.357022604
6,1,3,1,3,2,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
6,0,3,1,2,0,2,4,0.6875,1,2,1.5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
6,1,3,1,2,0,0,4,0.6875,0,0,0,0,0,0,0,0,0,0
8,2,0,3,0,1,0,4,1.125,0,0,0,0,0,0,0,0,0,0
8,2,0,3,0,1,0,4,1.125,0,0,0,0,0,0,0,0,0,0
6,0,3,1,1,2,3,4,0.8125,1,6,3.666666667,1.414213562,-1,1,1.414213562,-1,1,1.414213562
6,1,3,1,3,2,0,4,0.8125,0,0,0,0,0,0,0,0,0,0
8,1,2,3,0,3,3,4,1.375,3,8,5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,0,2,3,2,3,0,4,1.375,0,0,0,0,0,0,0,0,0,0
